4,"剣樹抄～光國公と俺～"
4,"さいちん�に会いたい〜🥲"
4,"同じでも良いのであれば"
4,"あまちゃん総集編前編"
4,"@NHK_DVDおかえりモネ"
4,"6番目の小夜子"
4,"流れ星"
4,"徒歩7分"
4,"トキオ父への伝言"
4,"アイカーリー"
4,"続編希望します"
4,"風のハルカ"
4,"コントレール"
4,"カムカムエヴリバディ世代とも最高の推し"
4,"カムカムエヴリバディひなた編"
4,"カムカムエヴリバディるい編"
4,"カンパニー〜逆転のスワン〜"
4,"ぼんくら"
4,"独眼竜正宗"
4,"半径５メートル"
4,"号警備"
4,"ひらり"
4,"円盤化お願いします‼️"
4,"正直不動産🏢"
4,"実験刑事トトリ"
4,"いっぱいあるけど、今回は落語三題"
4,"江戸時代にあんな青年いただろうなって思う"
4,"また壮多くんに会いたいな"
4,"です�"
4,"おひさま"
4,"大江戸もののけ物語"
4,"またさいちんに会いたいです�"
4,"貴重なNHKドラマを観たいです"
4,"松本潤さんが演じた"
4,"来年の大河に向けて"
4,"古見さんはコミュ症です。"
4,"正義の天秤⚖"
4,"生活維持省"
4,"いつか陽のあたる場所で"
4,"炎立つ"
4,"続編希望です🥺"
4,"面白かったので"
4,"ライオンのおやつ"
4,"新選組土方歳三最期の一日"
4,"オリバーな犬"
4,"光秀のスマホ"
4,"❤️星新一の不思議な不思議な短編ドラマ"
4,"❤️卒業タイムリミット"
4,"新八犬伝"
4,"シリーズ横溝正史短編集"
4,"ストレンジャー上海の芥川龍之介"
4,"富士ファミリー"
4,"正直不動産�"
4,"1.風の向こうへ駆け抜けろ"
4,"ステキな企画✨"
4,"同じ作品つでも良いですよ"
4,"とは正直不動産推しがそうして"
4,"ソースさんの恋"
4,"●星新一の不思議な不思議な"
4,"衣裳も素敵だったので写真集待ってます�"
4,"撮影裏側とかないですか…もしあれば観た"
4,"麒麟が来て"
4,"ღ正直不動産ღ"
4,"✨ホシに願いを"
4,"✨つばさ"
4,"＃まんが道青春編"
4,"どうかお願いします�🥺"
4,"再放送がもし無理だとしても円盤化を"
3,"転コウ生"
3,"6(ロクヨン)"
3,"漱石悶々夏目漱石最後の恋京都祇園の二"
3,"カナカナ🦞̥"
3,"憲法はまだか"
3,"やまぴー"
3,"雪国"
3,"天地人"
3,"ガタの国から"
3,"＃正義の天秤"
3,"続編も期待しています"
3,"LUNA"
3,"山女日記"
3,"Season２にも期待大�続編希望�"
3,"生涯かけてお仕えすべき主君にめぐり逢えた"
3,"RT@bNLdYIJJnddar:"
3,"デイジーラック"
3,"聖徳太子"
3,"野田ともうします"
3,"腐女子、うっかりゲイに告（コク）る。"
3,"ホームノットアローン"
3,"シャツの店"
3,"あすか"
3,"幕末相棒伝"
3,"私の青空"
3,"@NHK_DVDスカーレット"
3,"鎌倉殿"
3,"LIFEスペシャル忍べ右左エ門"
3,"剣樹抄～光圀公と俺～"
3,"赤ひげ"
3,"☆岸辺露伴は動かない"
3,"山河燃ゆ"
3,"@NHK_DVDアシガール"
3,"カムカム"
3,"RT@wato202:青天を衝け"
3,"おかえりモネ東京編"
3,"平成細雪"
3,"決してマネしないでください"
3,"ブシメシ"
3,"お願いします�"
3,"円盤化もぜひ"
3,"大感謝祭山下智久"
3,"デジタルタトゥー"
3,"白洲次郎"
3,"心の傷を癒やすということ"
3,"太平記"
3,"ハードナッツ"
3,"推しNHKドラマをつ貼る見た人もやる"
3,"オリバーな犬（Gosh）このヤロウ"
3,"評判とかいうものよりもずっと見えてくるも"
3,"SNSの動きなんかより、自分でちゃんと観"
3,"カムカムエヴリバディhttps://t"
3,"だから荒野"
3,"武田信玄"
3,"薄桜記"
3,"天使にリクエストを"
3,"忘れてませんよ、続編いつやるんですか？"
3,"ホシに願いを"
3,"未来からの挑戦"
3,"蒼穹の昴"
3,"RT@KiSunny1:＊正義の天秤"
3,"謎の転校生"
3,"朝が来た"
3,"かな。"
3,"⚪正義の天秤"
3,"⚪卒業タイムリミット"
3,"続編希望熱望"
3,"笑えるのに泣けて、元気になれる優しくなれ"
3,"ワンダーウォール"
3,"1．正直不動産"
3,"2．正直不動産"
3,"剛くんの""青年""の演技をもう一度見たいで"
3,"本当に感動したドラマです"
3,"野田ともうします。"
3,"幻のあまちゃん総集編後編"
3,"�おかえりモネ"
3,"�スローな武士にしてくれ"
3,"�10年先も君に恋して"
3,"男の操"
3,"☆てるてる家族"
3,"花の乱"
3,"ニコニコ日記"
3,"恋せぬ二人"
3,"麒麟が来る"
3,"洞窟おじさん"
3,"ガッタンガッタンそれでもゴー"
3,"続編期待しております��"
3,"続編お願いします�✨"
3,"@NHK_DVD美女と男子"
3,"これは経費でおちません"
3,"2美女と男子"
3,"ママゴト"
3,"上白石萌音"
3,"俺たちの菅波"
3,"正直不動産🏡"
3,"山Pにぴったりの役だったと思う。新たにド"
3,"永瀬財地さん、かっこよすぎたしかわいいし"
3,"◎正義の天秤"
3,"漫画家イエナガの複雑社会を超定義"
3,"つばさ"
3,"2.螢草"
3,"正直不動産（感謝祭お手紙感動山P）"
3,"正直不動産（ひだまり荘さいちん）"
3,"義経のスマホ"
3,"ぜひぜひ続編をお願いいたします�"
3,"武蔵MUSASHI"
3,"あんなに盛り上がったヶ月"
3,"コントレール～罪と恋～"
3,"見たからやる♥️"
3,"１つ目正直不動産🏠"
3,"2つ目正直不動産🏠"
3,"おそろし"
3,"✨美女と男子"
3,"秀吉"
3,"ひきこもり先生"
3,"続編期待しています✨✨"
3,"壮多さんのその後を見届けたいです�"
3,"円盤化ありがとうございます☺️"
3,"もちろん"
3,"藏"
3,"今こそ平和を✨"
3,"ガラスのうさぎ"
3,"ボクテ♡"
3,"鈴愛〜"
3,"律〜"
3,"わげもん～長崎通訳異聞～"
3,"腕におぼえあり"
3,"新選組血風録"
3,"どちらも見入ってしまう素敵なドラマでした"
3,"複数でも良いとのことで2作品☺️"
3,"峠の群像"
3,"天下堂々"
3,"功名が辻"
3,"草燃える"
3,"今の町田啓太さんで続編がみたいと思"
3,"演じる役柄もストーリーも"
3,"10年先も君に恋して"
3,"のんちゃんが出演するNHKドラマ、も"
3,"マリオ～AIのゆくえ～"
3,"RT@Marukko_withJ:古"
3,"RT@promiseyesido:永"
3,"❤️正義の天秤"
3,"金曜時代劇鳴門秘帖"
3,"わらの女"
3,"空想小田信夫"
3,"夢千代日記"
3,"これしかないでしょう"
3,"気晴らしにやってみよぅ。"
3,"続編待ってる。ずっと待ってる。"
3,"西城秀樹デビュー50周年"
3,"NHKさんに推しましょう❣️"
3,"星野源"
3,"三浦春馬さん"
3,"はじまりの歌♪̊̈♪̆̈♪̊̈"
3,"はじまりの歌♪̊̈♪̆̈"
3,"とりあえず、早朝、深夜枠の再放送でもいい"
3,"おかえりモネアゲイン��"
3,"おかえりモネSeason２�🎶"
3,"出来れば同列で、あさが来た"
3,"大富豪同心壱"
3,"大富豪同心弍"
3,"晴のちカミナリ"
3,"大富豪同心2"
3,"エンディングは出演者の皆さんで主題歌を踊"
3,"大富豪同心続編希望�"
3,"大富豪同心2地上波放送希望"
3,"生物彗星WoO"
3,"RT@anohino_aozora:"
3,"続編も見たいです"
3,"キャストのその後も気になります"
3,"円盤化希望�"
3,"○半分、青い。"
3,"半青青い"
3,"�半分青い"
3,"美女と男子✨"
3,"♡17歳の帝国"
3,"ROMES空港防御システム"
3,"岸辺露伴は動かない(全部)"
3,"愛、パリを行く（BK制作）"
3,"正直不動産屋"
3,"ぬけまいる～女三人伊勢参り～"
3,"事件は、その周りで起きている"
3,"正義の天秤亀梨和也"
3,"マッチポイント"
3,"風の向こうへ駆け抜けろ🏇"
2,"正直不動産https://t.co/C"
2,"直虎"
2,"京都人の密かな愉しみBlue修業中"
2,"どんど晴れ"
2,"雪国ｰSNOWCOUNTRYｰ"
2,"京都人の密かな愉しみblue修業中"
2,"この指止まれ"
2,"京都発僕の旅立ち"
2,"ツレがうつになりまして。"
2,"さすがNHKスクエアさん"
2,"同じのつでもよいなら"
2,"素直に言っちゃうよ"
2,"黒猫、ときどき花屋"
2,"その男、意識高い系。"
2,"立花登青春手控え"
2,"翔ぶが如く"
2,"続編お待ちしてます"
2,"ってなったドラマでした。"
2,"クドカンすげぇ。"
2,"イッセー尾形すげぇ。"
2,"ある日、嵐のように"
2,"TAROの塔"
2,"鞍馬天狗"
2,"眩〜北斎の娘〜"
2,"正直不動産season2待ってます"
2,"＊スカーレット"
2,"＊ちりとてちん"
2,"正義の天秤正義の天秤"
2,"令和元年牡丹灯籠"
2,"ドラマ版太陽の子"
2,"さいちんロス"
2,"花燃ゆ"
2,"最高な推しドラマ🥰"
2,"続編を希望します。"
2,"⭐️星新一の不思議な不思議な短編ドラマ"
2,"このつだな"
2,"捨て猫に拾われた男"
2,"海猿"
2,"よろしくお願いします"
2,"お願いいたします"
2,"Season2是非♪是非"
